bid,crn
11111115,10036
11111116,10041
11111135,10041
11111135,10046
11111119,10049
11111120,10050
11111121,10053
11111122,10062
11111116,10063
11111116,10074
11111116,10083
11111135,10087
11111135,10088
11111128,10102
11111135,10103
11111130,10106
11111116,10108
11111116,12086
11111116,12086
11111134,12086
11111135,10154
11111135,10074
11111136,10083
11111137,12086
11111138,10088
11111139,10102
11111140,10103
11111141,10106
11111142,10108
11111143,10111
11111144,10114
11111145,10143
11111146,10154
11111147,12086
11111148,12086
11111149,12183
11111150,12186
11111151,12086
11111152,12086
11111153,12086
11111154,12241
11111155,12242
11111156,12253
11111111,10087
11111112,10088
11111113,10102
11111114,10103
11111115,10102
11111116,10108
11111117,12086
11111118,12086
11111119,12086
11111120,10154
11111121,10074
11111122,10083
11111123,12086
11111124,10088
11111125,10102
11111126,10103
11111127,10106
11111128,10102
11111129,10111
11111130,10114
11111131,10102
11111132,10154
11111133,10102
11111134,10049
11111135,10102
11111136,10049
11111137,10102
11111138,10102
